iter	Passed	Remaining
1622	8648	2008
1623	8653	2003
1624	8657	1997
1625	8661	1992
1626	8664	1986
1627	8670	1981
1628	8675	1975
1629	8679	1970
1630	8686	1965
1631	8690	1959
1632	8694	1954
1633	8701	1949
1634	8707	1943
1635	8710	1938
1636	8716	1932
1637	8719	1927
1638	8724	1921
1639	8728	1916
1640	8733	1910
1641	8736	1904
1642	8741	1899
1643	8746	1894
1644	8750	1888
1645	8755	1883
1646	8758	1877
1647	8764	1872
1648	8767	1866
1649	8772	1860
1650	8777	1855
1651	8781	1849
1652	8785	1844
1653	8789	1838
1654	8797	1833
1655	8810	1830
1656	8817	1825
1657	8821	1819
1658	8827	1814
1659	8832	1809
1660	8836	1803
1661	8841	1798
1662	8845	1792
1663	8849	1786
1664	8852	1781
1665	8857	1775
1666	8861	1770
1667	8865	1764
1668	8868	1758
1669	8873	1753
